  List size (in bytes) for each relation (table, index, etc.)

    schema_name     | segment_type | tablespace_name |                  segment_name                  | segment_size_bytes 
 pg_toast           | t            |                 | pg_toast_3118                                  |                  0
 pg_toast           | t            |                 | pg_toast_3256                                  |                  0
 pg_toast           | t            |                 | pg_toast_3350                                  |                  0
 pg_toast           | t            |                 | pg_toast_3381                                  |                  0
 pg_toast           | t            |                 | pg_toast_3394                                  |                  0
 pg_toast           | t            |                 | pg_toast_3429                                  |                  0
 pg_toast           | t            |                 | pg_toast_3456                                  |                  0
 pg_toast           | t            |                 | pg_toast_3466                                  |                  0
 pg_toast           | t            |                 | pg_toast_3596                                  |                  0
 pg_toast           | t            |                 | pg_toast_3600                                  |                  0
 pg_toast           | t            |                 | pg_toast_6106                                  |                  0
 pg_toast           | t            |                 | pg_toast_826                                   |                  0
(297 rows)

  Simulate "lots of extents" with large size thresholds

 schema_name | segment_type | tablespace_name | segment_name | size_bytes 
-------------+--------------+-----------------+--------------+------------
(0 rows)

  For LOB (TOAST) sizes

 toast_table | total_toast_size_bytes 
-------------+------------------------
(0 rows)

