  SCRIPT: ORA_M01_object_storage_analysis

  STATS: show how all the segments are managed in each tablespace as message

 schema_name | segment_type |                  segment_name                  | num_rows | storage_options 
 pg_catalog  | TABLE        | pg_partitioned_table                           |        0 | 
 pg_catalog  | TABLE        | pg_policy                                      |        0 | 
 pg_catalog  | TABLE        | pg_proc                                        |     3297 | 
 pg_catalog  | TABLE        | pg_publication                                 |        0 | 
 pg_catalog  | TABLE        | pg_publication_namespace                       |        0 | 
 pg_catalog  | TABLE        | pg_publication_rel                             |        0 | 
 pg_catalog  | TABLE        | pg_range                                       |        6 | 
 pg_catalog  | TABLE        | pg_replication_origin                          |        0 | 
 pg_catalog  | TABLE        | pg_rewrite                                     |      143 | 
 pg_catalog  | TABLE        | pg_seclabel                                    |        0 | 
 pg_catalog  | TABLE        | pg_sequence                                    |        0 | 
 pg_catalog  | TABLE        | pg_shdepend                                    |        0 | 
 pg_catalog  | TABLE        | pg_shdescription                               |        1 | 
 pg_catalog  | TABLE        | pg_shseclabel                                  |        0 | 
 pg_catalog  | TABLE        | pg_statistic                                   |      486 | 
 pg_catalog  | TABLE        | pg_statistic_ext                               |        0 | 
 pg_catalog  | TABLE        | pg_statistic_ext_data                          |        0 | 
 pg_catalog  | TABLE        | pg_subscription                                |        0 | 
 pg_catalog  | TABLE        | pg_subscription_rel                            |        0 | 
 pg_catalog  | TABLE        | pg_tablespace                                  |        2 | 
 pg_catalog  | TABLE        | pg_transform                                   |        0 | 
 pg_catalog  | TABLE        | pg_trigger                                     |        0 | 
 pg_catalog  | TABLE        | pg_ts_config                                   |       29 | 
 pg_catalog  | TABLE        | pg_ts_config_map                               |      551 | 
 pg_catalog  | TABLE        | pg_ts_dict                                     |       29 | 
 pg_catalog  | TABLE        | pg_ts_parser                                   |        1 | 
 pg_catalog  | TABLE        | pg_ts_template                                 |        5 | 
 pg_catalog  | TABLE        | pg_type                                        |      645 | 
 pg_catalog  | TABLE        | pg_user_mapping                                |        0 | 
(188 rows)

  STATS: list compressed tables

       table_name        | compression 
-------------------------+-------------
 pg_statistic            | YES
 pg_type                 | YES
 pg_foreign_table        | YES
 pg_authid               | YES
 pg_statistic_ext_data   | YES
 pg_user_mapping         | YES
 pg_subscription         | YES
 pg_proc                 | YES
 pg_attrdef              | YES
 pg_constraint           | YES
 pg_language             | YES
 pg_aggregate            | YES
 pg_statistic_ext        | YES
 pg_rewrite              | YES
 pg_trigger              | YES
 pg_event_trigger        | YES
 pg_description          | YES
 pg_namespace            | YES
 pg_database             | YES
 pg_db_role_setting      | YES
 pg_tablespace           | YES
